4.139201e-01,4.938442e-01,7.821723e-02,1.239734e+01
3.143057e-01,4.755283e-01,1.545085e-01,1.253436e+01
2.488126e-01,4.455033e-01,2.269952e-01,1.264508e+01
2.651167e-01,4.045085e-01,2.938926e-01,1.269690e+01
3.727621e-01,3.535534e-01,3.535534e-01,1.263474e+01
5.370519e-01,2.938926e-01,4.045085e-01,1.269690e+01
7.446046e-01,2.269952e-01,4.455033e-01,1.264508e+01
9.905571e-01,1.545085e-01,4.755283e-01,1.253436e+01
1.270211e+00,7.821723e-02,4.938442e-01,1.239734e+01
1.570796e+00,1.110223e-16,5.000000e-01,1.225527e+01
1.871382e+00,-7.821723e-02,4.938442e-01,1.239734e+01
2.151036e+00,-1.545085e-01,4.755283e-01,1.253436e+01
2.396988e+00,-2.269952e-01,4.455033e-01,1.264508e+01
2.604541e+00,-2.938926e-01,4.045085e-01,1.269690e+01
2.768831e+00,-3.535534e-01,3.535534e-01,1.263474e+01
2.876476e+00,-4.045085e-01,2.938926e-01,1.269690e+01
2.892780e+00,-4.455033e-01,2.269952e-01,1.264508e+01
2.827287e+00,-4.755283e-01,1.545085e-01,1.253436e+01
2.727673e+00,-4.938442e-01,7.821723e-02,1.239734e+01
2.618769e+00,-5.000000e-01,-1.337523e-17,1.225527e+01
2.510391e+00,-4.938442e-01,-7.821723e-02,1.239734e+01
2.402146e+00,-4.755283e-01,-1.545085e-01,1.253436e+01
2.294857e+00,-4.455033e-01,-2.269952e-01,1.264508e+01
2.188672e+00,-4.045085e-01,-2.938926e-01,1.269690e+01
2.083476e+00,-3.535534e-01,-3.535534e-01,1.263474e+01
1.979735e+00,-2.938926e-01,-4.045085e-01,1.269690e+01
1.876658e+00,-2.269952e-01,-4.455033e-01,1.264508e+01
1.774237e+00,-1.545085e-01,-4.755283e-01,1.253436e+01
1.672343e+00,-7.821723e-02,-4.938442e-01,1.239734e+01
1.570796e+00,-1.387779e-16,-5.000000e-01,1.225527e+01
1.469250e+00,7.821723e-02,-4.938442e-01,1.239734e+01
1.367356e+00,1.545085e-01,-4.755283e-01,1.253436e+01
1.264935e+00,2.269952e-01,-4.455033e-01,1.264508e+01
1.161857e+00,2.938926e-01,-4.045085e-01,1.269690e+01
1.058117e+00,3.535534e-01,-3.535534e-01,1.263474e+01
9.529206e-01,4.045085e-01,-2.938926e-01,1.269690e+01
8.467355e-01,4.455033e-01,-2.269952e-01,1.264508e+01
7.394471e-01,4.755283e-01,-1.545085e-01,1.253436e+01
6.312012e-01,4.938442e-01,-7.821723e-02,1.239734e+01
5.228238e-01,5.000000e-01,-1.741875e-16,1.225527e+01
4.139201e-01,4.938442e-01,7.821723e-02,1.239734e+01
